1,2023-06-24 01:10:00.373986,1,4,0.2,"[0, 0, 0, 0, 0]"
2,2023-06-24 01:10:00.594604,5,0,1.0,"[0, 0, 0, 0, 0]"
1,2023-06-24 02:27:44.450980,0,5,0.0,"[1, 1, 1, 0, 0]"
2,2023-06-24 02:27:44.804789,5,0,1.0,"[0, 0, 0, 0, 0]"
3,2023-06-24 02:27:45.011558,2,3,0.4,"[0, 0, 0, 0, 0]"
4,2023-06-24 02:27:45.183676,3,2,0.6,"[0, 0, 0, 0, 0]"
5,2023-06-24 02:27:45.332046,3,2,0.6,"[0, 0, 0, 0, 0]"
6,2023-06-24 02:27:45.506084,1,4,0.2,"[0, 0, 0, 0, 0]"
7,2023-06-24 02:27:45.677740,4,1,0.8,"[0, 0, 0, 0, 0]"
8,2023-06-24 02:27:45.849750,3,2,0.6,"[0, 0, 0, 0, 0]"
9,2023-06-24 02:27:46.025628,3,2,0.6,"[0, 0, 0, 0, 0]"
10,2023-06-24 02:27:46.199762,4,1,0.8,"[0, 0, 0, 0, 0]"
