Date/Time,Mouse Button
2023-06-17 20:44:28.274050,Released
2023-06-17 20:44:30.312547,Pressed
2023-06-17 20:44:30.370392,Released
2023-06-17 20:44:30.472120,Pressed
2023-06-17 20:44:30.531990,Released
2023-06-17 20:44:30.629728,Pressed
2023-06-17 20:44:30.687577,Released
2023-06-17 20:44:31.803928,Pressed
2023-06-17 20:44:31.891661,Released
2023-06-17 20:44:31.951500,Pressed
2023-06-17 20:44:32.028295,Released
2023-06-17 20:44:33.942921,Pressed
2023-06-17 20:44:33.981784,Released
2023-06-17 20:44:34.079523,Pressed
2023-06-17 20:44:34.156318,Released
2023-06-17 20:44:34.978151,Pressed
2023-06-17 20:44:35.026485,Released
2023-06-17 20:44:35.122232,Pressed
2023-06-17 20:44:35.161128,Released
2023-06-17 20:44:55.540021,Pressed
2023-06-17 20:44:55.604849,Released
2023-06-17 20:45:15.291403,Pressed
2023-06-17 20:45:15.337281,Released
2023-06-17 20:45:21.548717,Pressed
2023-06-17 20:45:21.606597,Released
2023-06-17 20:45:21.702340,Pressed
2023-06-17 20:45:21.762175,Released
2023-06-17 20:45:23.331026,Pressed
2023-06-17 20:45:23.369955,Released
2023-06-17 20:45:23.466699,Pressed
2023-06-17 20:45:23.544463,Released
2023-06-17 20:45:23.640236,Pressed
2023-06-17 20:45:23.699043,Released
2023-06-17 20:45:26.108646,Pressed
2023-06-17 20:45:26.205390,Released
2023-06-17 20:45:26.262203,Pressed
2023-06-17 20:45:26.378321,Released
2023-06-17 20:45:26.976734,Pressed
2023-06-17 20:45:27.015629,Released
2023-06-17 20:46:30.893489,Pressed
2023-06-17 20:46:30.941360,Released
